simulation_id,average_time_in_G1,effective_g1_sample_size,eta,final_cell_count,final_timestep,num_deaths,num_divisions,seed,status
546,47.59203531035789,895,2.4,1000,438.397121767887,97,1033,1092,2
547,44.42861010813147,834,2.4,1000,404.82480835593407,72,1008,1094,2
548,46.31946187945795,898,2.4,1000,435.01263269912255,81,1017,1096,2
549,46.380787515430285,891,2.4,1000,429.6025683795787,97,1033,1098,2
550,45.23088402155478,822,2.4,1000,412.3982560702227,70,1006,1100,2
551,43.58984318489499,822,2.4,1000,411.2122825944333,58,994,1102,2
552,45.21876320829,869,2.4,1000,409.7897555254084,76,1012,1104,2
553,44.646651699771624,883,2.4,1000,431.63093454947847,83,1019,1106,2
554,47.665143237836126,890,2.4,1000,444.46971661976727,94,1030,1108,2
555,43.33402975602468,815,2.4,1000,407.78800410284583,66,1002,1110,2
556,44.70854704447146,886,2.4,1000,424.40507470976826,79,1015,1112,2
557,45.19402446905438,893,2.4,1000,424.37031918614576,76,1012,1114,2
558,44.56175322088385,897,2.4,1000,419.73691657947785,82,1018,1116,2
559,46.429047547096445,886,2.4,1000,432.1029306011144,83,1019,1118,2
560,45.324500309782614,872,2.4,1000,422.49729723310395,78,1014,1120,2
561,42.844844506892585,819,2.4,1000,416.7198845147278,63,999,1122,2
562,45.870506017866425,828,2.4,1000,425.04474847819426,69,1005,1124,2
563,44.84698665489631,875,2.4,1000,423.1448261833866,87,1023,1126,2
564,47.93086701260695,899,2.4,1000,443.1670148263595,95,1031,1128,2
565,44.53933228696682,876,2.4,1000,417.20980239676373,77,1013,1130,2
566,45.280327303859984,849,2.4,1000,411.81238361445503,68,1004,1132,2
567,44.270963909442024,899,2.4,1000,421.76121582622187,77,1013,1134,2
568,47.81405670003892,885,2.4,1000,444.0979593185031,99,1035,1136,2
569,46.651494196674555,860,2.4,1000,432.7914515529996,79,1015,1138,2
570,43.59015642839403,860,2.4,1000,408.5256651146586,75,1011,1140,2
571,46.11791715430134,833,2.4,1000,435.54512943641316,70,1006,1142,2
572,47.13102645730494,899,2.4,1000,455.93198955850823,86,1022,1144,2
573,46.59904760177888,885,2.4,1000,436.7178344111789,80,1016,1146,2
574,45.823565156770194,895,2.4,1000,428.8268294114436,86,1022,1148,2
575,45.061411938854484,883,2.4,1000,418.2688913300957,80,1016,1150,2
576,45.34864479851567,857,2.4,1000,430.8692479581963,85,1021,1152,2
577,45.44228087991551,892,2.4,1000,418.69855230248294,84,1020,1154,2
578,48.216769147885884,891,2.4,1000,432.4058942101928,96,1032,1156,2
579,44.312084187671076,866,2.4,1000,417.25244804075953,75,1011,1158,2
580,45.29925437887461,890,2.4,1000,416.7296497940206,74,1010,1160,2
581,46.24426953001977,896,2.4,1000,447.346745687156,84,1020,1162,2
582,47.22099756555621,887,2.4,1000,432.6936551717359,82,1018,1164,2
583,46.927654580837796,908,2.4,1000,421.0515596571691,94,1030,1166,2
584,44.02458236581301,844,2.4,1000,413.63924851587814,66,1002,1168,2
585,43.983734132202194,838,2.4,1000,412.3867026826749,73,1009,1170,2
586,44.57170944766728,854,2.4,1000,421.31769420268176,73,1009,1172,2
587,44.39178727822587,880,2.4,1000,418.21017571061867,85,1021,1174,2
588,42.12818241078301,841,2.4,1000,405.5569720324827,59,995,1176,2
589,46.977999430217935,856,2.4,1000,419.85534198546935,81,1017,1178,2
590,44.98960865950472,866,2.4,1000,417.37599199204544,79,1015,1180,2
591,46.448365937964084,886,2.4,1000,430.1147459014627,87,1023,1182,2
592,43.05874665638231,822,2.4,1000,406.28289140366684,63,999,1184,2
593,43.66392144833711,860,2.4,1000,408.377946224849,66,1002,1186,2
594,46.53840008119497,876,2.4,1000,428.9074258900054,86,1022,1188,2
595,46.37715344727211,851,2.4,1000,432.8719843829376,71,1007,1190,2
596,45.62566677812226,868,2.4,1000,415.04554382585656,76,1012,1192,2
597,42.14548796617129,807,2.4,1000,408.78768549031173,66,1002,1194,2
598,45.17136117823091,853,2.4,1000,427.88844773362894,75,1011,1196,2
599,45.86919720523999,846,2.4,1000,432.11859155046193,76,1012,1198,2
600,45.82302068364317,689,2.8000000000000003,1000,404.0280072989239,41,977,1200,2
601,48.02845823486309,716,2.8000000000000003,1000,418.820253853475,43,979,1202,2
602,47.27445746678172,695,2.8000000000000003,1000,415.63270384856907,40,976,1204,2
