simulation_id,beta_A,tG_A,rho_A,eta_A,coef_A,beta_B,tG_B,rho_B,eta_B,coef_B,n0_A,n0_B,seed,status,status_info,final_timestep,final_cell_count_A,final_cell_count_B,num_divisions_A,num_divisions_B,num_deaths_A,num_deaths_B
46432,0.3,100,0.3,0.1,1,0.4,100,0.25,0.02,1,0,100,92865,3,,57.42297566044375,0,9,0,55,0,146
46433,0.3,100,0.3,0.1,1,0.4,100,0.25,0.02,1,0,100,92867,3,,86.32866448176412,0,9,0,60,0,151
46434,0.3,100,0.3,0.1,1,0.4,100,0.25,0.02,1,0,100,92869,3,,54.54568120501369,0,10,0,52,0,142
46435,0.3,100,0.3,0.1,1,0.4,100,0.25,0.02,1,0,100,92871,3,,56.59577058432954,0,10,0,54,0,144
46436,0.3,100,0.3,0.1,1,0.4,100,0.25,0.02,1,0,100,92873,3,,81.15097840321414,0,10,0,63,0,153
46437,0.3,100,0.3,0.1,1,0.4,100,0.25,0.02,1,0,100,92875,3,,52.96688111300485,0,9,0,54,0,145
46438,0.3,100,0.3,0.1,1,0.4,100,0.25,0.02,1,0,100,92877,3,,55.69587817789925,0,10,0,59,0,149
46439,0.3,100,0.3,0.1,1,0.4,100,0.25,0.02,1,0,100,92879,3,,57.19174093515118,0,10,0,61,0,151
46440,0.3,100,0.3,0.1,1,0.4,100,0.25,0.02,1,0,100,92881,3,,88.84491755486435,0,10,0,62,0,152
46441,0.3,100,0.3,0.1,1,0.4,100,0.25,0.02,1,0,100,92883,3,,87.09105160971608,0,9,0,66,0,157
46442,0.3,100,0.3,0.1,1,0.4,100,0.25,0.02,1,0,100,92885,3,,83.92165013570317,0,9,0,63,0,154
46443,0.3,100,0.3,0.1,1,0.4,100,0.25,0.02,1,0,100,92887,3,,56.705915950360506,0,10,0,61,0,151
46444,0.3,100,0.3,0.1,1,0.4,100,0.25,0.02,1,0,100,92889,3,,96.46849698720166,0,9,0,59,0,150
46445,0.3,100,0.3,0.1,1,0.4,100,0.25,0.02,1,0,100,92891,3,,49.19962811728951,0,9,0,55,0,146
46446,0.3,100,0.3,0.1,1,0.4,100,0.25,0.02,1,0,100,92893,3,,85.4523558002026,0,10,0,67,0,157
46447,0.3,100,0.3,0.1,1,0.4,100,0.25,0.02,1,0,100,92895,3,,54.584945778331786,0,10,0,55,0,145
46448,0.3,100,0.3,0.1,1,0.4,100,0.25,0.02,1,0,100,92897,3,,49.407290905035886,0,10,0,59,0,149
46449,0.3,100,0.3,0.1,1,0.4,100,0.25,0.02,1,0,100,92899,3,,56.72807228413991,0,10,0,48,0,138
