,t,G1_cell_count,G2_cell_count
4583,5207.560691489842,8,8
4584,5209.236533830833,10,7
4585,5209.990405184774,12,6
4586,5212.606095545799,14,5
4587,5214.327979390894,16,4
4588,5215.177780193106,18,3
4589,5216.4111356849735,20,2
4590,5217.313267040364,22,1
4591,5219.749444470517,24,0
4592,5232.431921709653,23,1
4593,5238.253877519452,22,2
4594,5240.206045208844,21,3
4595,5243.908562047687,20,4
4596,5249.009909458433,19,5
4597,5249.939356390775,18,6
4598,5253.813324341197,17,7
4599,5255.776743302915,16,8
4600,5255.856181679689,15,9
4601,5258.536640721445,14,10
4602,5261.7954230819105,13,11
4603,5263.2938739826595,12,12
4604,5264.824800142128,11,12
4605,5265.822131744021,10,12
4606,5266.9742680166755,9,12
4607,5268.463905653112,8,12
4608,5268.986118622249,7,12
4609,5270.370895872203,6,12
4610,5271.048489051986,5,12
4611,5271.287029628045,4,12
4612,5271.518283782771,2,12
4613,5271.6113608273745,1,12
4614,5271.722096165109,0,12
4615,5282.431921709653,2,11
4616,5288.253877519452,4,10
4617,5290.206045208844,6,9
4618,5293.908562047687,8,8
4619,5299.009909458433,10,7
4620,5299.148496213881,8,7
4621,5299.939356390775,10,6
4622,5303.813324341197,12,5
4623,5305.776743302915,14,4
4624,5305.856181679689,16,3
4625,5308.536640721445,18,2
4626,5311.7954230819105,20,1
4627,5313.2938739826595,22,0
4628,5323.7635672341585,21,1
4629,5329.269154701544,20,2
4630,5329.8015421696755,19,3
4631,5333.949554548588,18,4
4632,5334.02921115712,17,5
4633,5334.753089693982,16,6
4634,5336.851714953578,15,7
4635,5337.4584372749605,13,7
4636,5339.78706559269,12,8
4637,5339.981852244198,11,9
4638,5346.192584323044,10,9
4639,5351.364067304814,9,10
4640,5352.39069894506,8,11
4641,5352.424552053784,7,11
4642,5353.744576803332,6,12
4643,5354.729802621486,5,12
4644,5355.547893855535,3,12
4645,5355.569700468767,2,12
4646,5356.053672240196,1,12
4647,5356.471624507388,0,12
4648,5373.7635672341585,2,11
4649,5379.269154701544,4,10
4650,5379.8015421696755,6,9
4651,5383.949554548588,8,8
4652,5384.02921115712,10,7
4653,5384.753089693982,12,6
4654,5386.851714953578,14,5
4655,5389.78706559269,16,4
4656,5389.981852244198,18,3
4657,5401.364067304814,20,2
4658,5402.39069894506,22,1
4659,5403.744576803332,24,0
4660,5415.488635949906,23,1
4661,5415.770517851722,22,2
4662,5416.252901399483,20,2
4663,5416.392560885166,19,3
4664,5420.569102776398,18,4
4665,5426.903779544073,17,5
4666,5428.955251667842,16,6
4667,5429.3997993483135,15,7
4668,5430.72561350074,14,8
4669,5431.637054477951,13,9
4670,5433.41360724118,12,10
4671,5435.054379751537,11,11
4672,5436.376328726707,10,11
4673,5438.743260883698,9,12
4674,5441.017872050528,8,12
4675,5441.085137631067,7,12
4676,5441.560182920882,6,12
4677,5442.177426927342,5,13
4678,5442.576259502731,4,13
4679,5443.106646578289,3,14
4680,5443.546001639592,2,14
4681,5445.523981372228,1,14
4682,5445.5855212748775,0,14
4683,5465.488635949906,2,13
4684,5465.770517851722,4,12
4685,5466.392560885166,6,11
4686,5470.569102776398,8,10
4687,5476.903779544073,10,9
4688,5478.955251667842,12,8
4689,5479.3997993483135,14,7
4690,5480.72561350074,16,6
4691,5481.637054477951,18,5
4692,5483.41360724118,20,4
4693,5485.054379751537,22,3
4694,5488.743260883698,24,2
4695,5492.177426927342,26,1
4696,5493.106646578289,28,0
4697,5496.3409857771885,27,1
4698,5498.8908711544955,26,2
4699,5508.4418175400615,25,3
4700,5511.751210878441,24,4
4701,5512.25935048961,22,4
4702,5513.89527224122,21,4
4703,5513.901560204239,20,5
4704,5515.491470989327,19,6
4705,5515.73329274659,18,7
4706,5516.509328256365,17,8
4707,5521.187492982925,16,9
4708,5524.362266843531,15,9
4709,5524.414845704796,14,10
4710,5525.160074395181,13,11
4711,5526.582374827859,12,12
4712,5527.41146055446,11,13
4713,5529.013711787115,10,14
4714,5530.288248051226,9,15
4715,5532.042562355476,8,16
4716,5532.716878692339,7,16
4717,5534.917893943421,5,16
4718,5535.494281620321,4,16
4719,5535.820527394468,2,16
4720,5535.858500312896,0,16
4721,5546.3409857771885,2,15
4722,5548.8908711544955,4,14
4723,5558.4418175400615,6,13
4724,5560.856582894009,4,13
4725,5561.751210878441,6,12
4726,5563.901560204239,8,11
4727,5564.140041651368,6,11
4728,5565.491470989327,8,10
4729,5565.73329274659,10,9
4730,5566.509328256365,12,8
4731,5571.187492982925,14,7
4732,5574.414845704796,16,6
4733,5575.160074395181,18,5
4734,5576.582374827859,20,4
4735,5577.41146055446,22,3
4736,5579.013711787115,24,2
4737,5580.288248051226,26,1
4738,5582.042562355476,28,0
4739,5593.99863944518,27,1
4740,5595.840854339458,26,2
4741,5597.1556482145925,25,3
4742,5598.419997914031,24,4
4743,5598.4692070796,23,5
4744,5604.45328940505,22,6
4745,5604.682362637431,21,7
4746,5605.682796287477,20,8
4747,5607.45423008672,19,8
4748,5609.587882645394,18,9
4749,5612.459224637441,17,10
4750,5616.68612011085,16,11
4751,5618.370476922337,15,11
4752,5621.136600614358,13,11
4753,5621.947910465486,12,11
4754,5622.900331975986,11,12
4755,5623.501727375718,10,13
4756,5627.385712996166,8,13
4757,5627.713286046885,7,13
4758,5628.185728498299,5,13
4759,5628.374283111706,4,13
4760,5628.620783301345,3,13
4761,5628.738432802647,2,13
4762,5628.8110967087405,0,13
4763,5643.99863944518,2,12
4764,5645.840854339458,4,11
4765,5647.1556482145925,6,10
4766,5648.419997914031,8,9
4767,5648.4692070796,10,8
4768,5654.45328940505,12,7
4769,5654.682362637431,14,6
4770,5655.682796287477,16,5
4771,5659.587882645394,18,4
4772,5662.459224637441,20,3
4773,5666.68612011085,22,2
4774,5672.900331975986,24,1
4775,5673.501727375718,26,0
4776,5673.732309134438,25,1
4777,5688.102696233981,24,2
4778,5688.231534938863,23,3
4779,5692.9639011910085,22,4
4780,5693.386896377435,21,5
4781,5694.926994717324,20,6
4782,5695.206782341811,19,7
4783,5698.470871291607,17,7
4784,5699.603485992065,16,8
4785,5703.501403040903,15,8
4786,5705.385160026798,14,9
4787,5706.235948402689,13,9
4788,5708.202714601816,12,9
4789,5708.264226058777,11,9
4790,5710.930567232482,10,10
4791,5711.849114038741,9,11
4792,5712.222433816,8,12
4793,5713.714790197007,7,12
4794,5714.188679820712,5,12
4795,5716.0545537725375,4,13
4796,5716.206908738457,2,13
4797,5716.827641640147,1,13
4798,5717.393066030944,0,13
4799,5723.732309134438,2,12
4800,5736.732309134438,0,12
4801,5738.102696233981,2,11
4802,5738.231534938863,4,10
4803,5742.9639011910085,6,9
4804,5743.386896377435,8,8
4805,5744.926994717324,10,7
4806,5745.206782341811,12,6
4807,5749.603485992065,14,5
4808,5755.385160026798,16,4
4809,5760.930567232482,18,3
4810,5761.849114038741,20,2
4811,5762.222433816,22,1
4812,5766.0545537725375,24,0
4813,5771.595596486982,23,1
4814,5779.620425803645,22,2
4815,5788.234407735783,21,3
4816,5789.126050627278,20,4
